x [kpc]	y [kpc]	MF814W
-108.06460	-591.02248	-8.63837
-108.60264	-590.88349	-7.74345
-109.74746	-590.11081	-8.66306
-109.86703	-591.82206	-7.75843
-109.22437	-591.66439	-8.06152
-108.75508	-591.99020	-9.00982
-110.21675	-592.72552	-7.57005
-109.27220	-593.34949	-7.39199
-108.66541	-593.45784	-9.18402
-106.16653	-591.63226	-7.68844
-102.33153	-589.44947	-7.30119
-107.37711	-593.67231	-7.21795
-108.71623	-591.40135	-8.29309
-109.04801	-591.28627	-7.74580
-109.60996	-589.94267	-8.54357
-109.03606	-589.58249	-7.87960
-109.00318	-589.98377	-8.88743
-108.71025	-591.16446	-8.21600
-106.60294	-589.95986	-7.53412
-106.39669	-591.71595	-8.00927
-106.42359	-592.41390	-8.04388
-107.68200	-592.25399	-7.61148
-109.33198	-591.48729	-9.14025
-108.13335	-589.04221	-8.68786
-109.54121	-588.06254	-7.56164
-97.47724	-583.36294	-7.33554
-90.52163	-600.28717	-8.55427
-109.87300	-599.50702	-8.55530
675.95601	-691.19663	-8.66037
672.70089	-688.25836	-8.95788
679.40243	-680.10262	-7.59640
196.81071	-644.89188	-7.26304
681.99696	-706.27361	-7.32019
684.86649	-714.50332	-7.67285
678.54755	-710.61676	-8.02339
685.10561	-705.55623	-8.24041
681.01654	-703.91970	-8.45091
679.41737	-704.12370	-7.62478
684.80969	-693.99367	-9.23045
686.82733	-696.55831	-7.46099
676.52393	-690.29169	-8.10060
624.76185	-559.71325	-7.07097
639.04671	-641.43425	-7.22004
90.46783	-531.20554	-8.99768
-396.04259	-63.68258	-8.84672
-401.47676	-55.19431	-8.45788
-393.23882	-50.58065	-7.44988
-402.83380	-53.36200	-8.14243
-401.60230	-61.56257	-7.30366
-409.72067	-67.98538	-7.32901
-415.96488	-65.70545	-7.70489
-408.12449	-66.28309	-7.28228
-397.83006	-63.32165	-7.93262
-397.11866	-65.14649	-8.03863
-397.39366	-64.77659	-8.24861
-386.79434	-90.87061	-8.03105
-430.62338	-61.84429	-7.31592
-405.77806	-157.19853	-7.96071
-397.80615	-64.08312	-8.10695
-396.86459	-64.39174	-7.94190
-397.11567	-64.11226	-7.53939
-398.80750	-64.44704	-7.38255
-404.48677	-68.43001	-8.35213
-403.04304	-60.97521	-9.89225
-401.20176	-61.30476	-8.70721
-400.26020	-60.01945	-7.29761
-398.69989	-60.81604	-9.04310
-397.00806	-63.41132	-7.94780
-397.95262	-62.78511	-8.43239
-397.77626	-62.33824	-7.45636
-390.76086	-75.24065	-7.44207
-392.57524	-70.78616	-7.41568
-393.83664	-70.13827	-7.75726
-393.95321	-67.83443	-7.98198
-395.48064	-64.40669	-8.24555
-394.82603	-63.65194	-8.85122
-394.95157	-63.48829	-8.33653
-569.26041	-85.29819	-7.88502
-408.45329	-63.33286	-7.54877
-408.45329	-63.33286	-7.71326
-603.08496	325.81838	-8.36416
-603.51539	325.52470	-7.83325
-602.21812	324.81853	-9.40872
-603.60506	324.86262	-7.95279
-601.60237	325.80941	-7.41987
-601.82057	324.48599	-7.49131
-372.62007	222.53707	-7.61094
-605.72433	325.40888	-8.06521
-602.93849	323.31651	-7.30672
-604.07136	325.36852	-7.63638
-604.82162	325.36778	-8.00360
-604.63032	326.04630	-9.86267
-604.63032	326.04630	-8.02659
-605.95150	325.78700	-8.25652
-605.78112	326.35866	-7.67961
-604.76782	325.71526	-7.92041
-604.19092	325.58448	-8.44545
-605.09961	325.45521	-8.18332
-604.94118	325.18694	-8.30510
-604.58847	324.48674	-8.65503
-604.18195	324.94258	-8.61997
-604.68412	325.00610	-7.97787
-605.26102	325.14658	-8.04945
-605.61672	324.83721	-7.50778
-605.88574	324.86860	-9.09962
-605.57786	325.51723	-7.75602
-463.52729	138.68336	-7.12328
-602.53198	321.90716	-7.33118
-695.16689	89.27817	-7.43216
-604.84852	326.97217	-9.53987
-603.39582	332.49900	-8.07708
-605.57786	330.95289	-9.84924
-603.90696	331.38780	-7.76652
-604.17299	329.93361	-9.27398
-602.85779	327.00281	-8.30012
-604.54363	326.88175	-7.76351
-605.28194	327.56700	-9.34687
-600.19451	327.37271	-7.33774
-422.33762	234.71089	-7.50716
-607.85854	326.78236	-8.38367
-606.42676	326.91612	-8.04646
-609.15580	329.84543	-7.32256
-606.64795	331.47748	-7.44157
-607.79577	330.83034	-7.56697
-619.79398	207.97422	-8.72297
-598.57442	326.30411	-7.20500
-603.46158	312.05661	-7.79411
-606.23247	326.15988	-8.37333
-606.38790	325.36628	-8.27361
-609.09901	325.98203	-9.36584
-609.34113	324.95304	-7.67740
-609.34113	324.95304	-7.35487
-606.75556	325.75038	-8.92840
-606.35203	325.24448	-8.21569
-606.19361	325.10025	-8.31252
-606.94985	325.39468	-8.26133
-606.25339	324.75576	-7.58234
-606.73763	324.55848	-7.77182
-607.52077	319.39184	-7.13682
-657.37881	292.19783	-7.10688
-657.37881	292.19783	-7.37231
-612.80249	311.97067	-7.34873
-604.45097	324.99788	-8.03895
-604.61537	325.36703	-9.09647
-604.50179	326.00370	-8.36892
-605.38656	326.21742	-8.99190
-605.27297	326.17408	-8.95240
-605.22814	325.78251	-10.03835
-605.78411	325.96111	-8.86358
-605.44933	325.36479	-8.17941
-604.16103	322.47882	-9.15608
-605.85286	322.43996	-8.54531
-605.55096	323.58478	-7.69251
-606.09796	324.26106	-8.67627
-605.81998	324.11834	-7.70970
-605.08466	324.11535	-9.57096
-603.82326	323.33519	-8.67459
-603.62001	324.37166	-8.58089
-602.60073	324.32682	-8.40293
-370.26467	292.85543	-7.35667
-374.52412	291.03433	-7.94729
-367.35628	298.69313	-8.54237
-372.30622	295.39691	-7.49441
-379.18113	331.93481	-7.68405
-378.47271	330.83482	-8.45553
-378.52950	331.34745	-7.81490
-378.46673	331.18230	-7.93987
-377.68658	330.97382	-8.68166
-376.96621	331.16138	-7.80910
-376.45806	334.24612	-7.90656
-376.29068	332.97651	-7.81578
-374.05782	331.11206	-8.52711
-381.03735	328.61468	-7.25757
-379.75204	330.72124	-8.15424
-381.20773	330.61438	-8.08196
-380.63980	330.27736	-8.33343
-379.57868	329.47479	-7.99810
-379.84172	329.33878	-9.48244
-378.54744	328.41067	-8.37808
-377.15751	330.33415	-7.72132
-377.49528	330.03748	-8.15760
-378.17081	330.15854	-7.42194
-378.95694	329.97172	-7.93547
-378.71782	330.31696	-7.87948
-378.24853	329.97920	-7.40258
-377.50126	330.19366	-7.38177
-376.79882	330.59943	-7.72034
-376.49991	328.58703	-8.76007
-377.42952	329.98368	-9.74569
-378.55342	329.04286	-8.83683
-384.31041	325.62932	-8.83751
-378.60124	325.86172	-8.67949
-380.04796	331.08292	-7.64077
-22.33748	242.43246	-7.21234
170.29150	41.86745	-6.99431
157.08868	84.96043	-7.82661
157.08868	84.96043	-7.31387
-164.92010	42.48918	-7.09103
-355.29829	422.61934	-7.50400
85.21599	-236.86453	-7.86575
85.05159	-236.82268	-7.67647
85.06355	-236.62241	-7.36072
84.85132	-237.09245	-9.75491
85.49099	-237.79713	-7.71636
85.26083	-237.48402	-7.52793
85.58365	-237.68504	-9.66514
85.66735	-237.58938	-7.19608
84.97985	-237.77247	-7.72221
85.30567	-237.83150	-8.13103
84.94697	-236.57459	-7.83889
83.03097	-238.95092	-8.07791
82.80081	-239.45084	-8.66845
83.52118	-241.17704	-10.24536
82.75597	-239.19826	-7.73683
84.13693	-238.58998	-8.87698
86.20837	-236.36984	-11.59097
92.56617	-235.45816	-9.88488
84.10106	-235.13534	-8.46002
50.75177	-475.23855	-9.38651
112.75150	-433.64685	-7.45625
7.66403	-234.59282	-8.57117
81.89810	-235.57399	-10.94611
81.82935	-235.17345	-8.01585
82.28071	-234.14745	-8.21535
79.91633	-238.15507	-8.78174
80.24812	-239.49717	-7.54391
79.56661	-242.71418	-7.69157
82.00272	-242.66038	-7.39056
81.84729	-238.22457	-9.56885
90.49772	-494.39190	-7.59529
86.22929	-245.89980	-8.17119
81.97283	-237.99216	-8.59990
82.47799	-238.87918	-8.95338
82.17908	-237.88904	-7.53801
73.27756	-243.23727	-9.07953
85.88555	-286.30858	-7.46090
86.07685	-240.09648	-7.50624
86.07087	-238.50629	-7.35634
84.79752	-239.70043	-7.59972
84.05025	-239.19154	-7.70385
83.55406	-238.41512	-7.93375
83.47335	-237.86289	-7.90755
82.70217	-237.42200	-8.46422
83.08477	-237.83150	-7.34650
82.86657	-237.32560	-8.64301
83.04292	-236.57384	-9.39389
83.65569	-236.56936	-7.59962
83.70949	-236.76813	-8.00863
83.97851	-236.79279	-8.05062
83.98150	-237.00203	-7.69268
84.09508	-236.85257	-7.60772
84.08612	-237.29496	-8.16227
84.34019	-236.57907	-8.52201
84.40894	-237.23667	-7.99228
84.37008	-237.47057	-8.13867
84.46573	-237.60209	-9.24217
84.69888	-238.04074	-9.17700
83.94563	-237.86961	-8.55106
84.15785	-237.56622	-8.26803
83.99943	-237.34428	-9.12006
84.16981	-237.82926	-8.48078
84.12497	-237.51167	-8.47926
84.48964	-237.47879	-8.24753
84.09508	-237.51989	-7.53976
84.19970	-237.22920	-8.13928
84.13394	-236.41841	-7.88238
84.21166	-237.61031	-7.78230
161.98481	-50.01795	-10.00121
-13.54955	-267.47730	-7.21490
82.87553	-227.20080	-7.40087
90.21375	-235.96556	-9.14233
89.11078	-238.51451	-7.21186
85.29371	-243.80296	-7.40992
84.59725	-237.03864	-8.55481
84.19073	-237.61554	-8.09319
84.07117	-238.25296	-7.96751
84.34617	-229.31633	-8.68764
84.48964	-234.43589	-8.54109
83.74835	-235.35280	-8.66550
85.35947	-235.69131	-8.05614
85.07252	-236.12548	-8.29304
85.46708	-235.53438	-7.64464
85.87658	-235.59566	-9.48605
85.01871	-233.15582	-10.62854
86.09180	-236.04627	-7.59247
85.22197	-235.86991	-7.94169
85.04263	-235.55307	-7.99325
86.66271	-235.42827	-8.17413
86.03799	-233.91803	-8.08606
82.83369	-235.77276	-7.55090
84.08911	-235.91325	-11.65833
84.73774	-235.12936	-7.84952
84.10704	-236.05523	-7.86554
83.26113	-232.30990	-8.19492
108.48308	-222.97796	-8.54019
42.78286	-421.14497	-7.51295
46.26814	-15.68824	-7.79706
83.18042	-239.74601	-7.26490
82.85162	-238.58849	-8.98851
85.17415	-238.51899	-7.65203
85.44316	-238.50554	-7.35984
85.08447	-239.14147	-8.99261
86.75537	-239.65111	-8.77330
86.11571	-238.09604	-8.32829
86.50130	-237.69849	-8.11333
85.99913	-236.37208	-8.42873
85.37441	-237.05210	-8.10100
85.24887	-236.83763	-9.80686
84.98882	-237.41975	-7.95166
85.01871	-237.59462	-8.08723
85.39235	-237.55053	-7.96085
85.29670	-237.21650	-7.94485
87.81949	-237.81954	-8.54561
91.02081	-242.22771	-7.54871
-10.10014	-98.39191	-7.87803
354.73335	17.85982	-7.76619
354.35374	22.46451	-8.56661
354.52412	17.06846	-7.09270
357.32190	17.68645	-8.79129
267.43695	-222.38836	-10.22264
449.62204	28.85668	-8.69254
418.44582	-47.38979	-7.88040
367.33536	8.93962	-7.40366
353.68717	21.31745	-7.88450
356.64039	23.20954	-7.34171
367.58345	19.11374	-7.81031
376.96920	13.20207	-7.96728
276.44009	-218.96137	-9.18074
276.53276	-218.74914	-7.61297
276.45205	-218.51600	-7.84168
276.92732	-218.41885	-7.90523
276.34743	-218.75961	-8.57893
276.37732	-218.66022	-7.89078
276.20993	-218.52422	-7.78528
276.35939	-218.42109	-8.85050
276.61944	-218.32768	-8.14339
276.85857	-218.07585	-7.71853
276.52977	-218.07735	-8.69378
276.47895	-218.28210	-7.98364
276.78085	-217.79264	-8.18998
276.61944	-217.82178	-8.48341
277.22025	-216.94672	-8.41792
277.99143	-217.25161	-10.08814
277.42350	-217.35698	-9.45650
277.04090	-217.24190	-7.88605
277.05585	-216.67770	-8.10855
277.06481	-216.24578	-7.91753
277.20530	-216.24130	-7.57404
277.63573	-215.38567	-9.21130
277.97051	-216.28539	-7.56176
277.08873	-216.37954	-8.16624
277.36073	-217.18137	-8.56184
277.10666	-217.17688	-8.54248
277.49823	-217.22546	-9.53699
277.50122	-216.88844	-8.68477
277.86589	-217.15895	-10.41500
277.72241	-217.29420	-8.07706
277.76725	-216.91833	-7.53261
277.41454	-216.69639	-8.05028
277.30394	-216.80549	-8.01642
276.98112	-217.01472	-9.17101
277.35476	-216.95793	-7.74486
277.34878	-217.10664	-7.90083
277.14851	-216.89815	-8.89174
277.43546	-217.00800	-7.64619
276.75096	-217.35324	-8.24907
276.84661	-217.25983	-8.94391
276.61346	-217.32185	-8.36669
276.84063	-216.61120	-9.31963
276.04553	-216.60148	-8.66551
275.94092	-216.84210	-7.46334
276.45803	-216.47220	-8.87947
276.67623	-216.89964	-7.54106
276.91237	-217.51614	-8.25749
276.67025	-217.62749	-8.81251
276.64335	-217.59834	-7.69046
276.44906	-217.66709	-9.12895
276.62841	-217.85018	-7.91255
276.73004	-217.66037	-8.98912
276.25776	-217.72015	-8.86628
275.98575	-217.70595	-8.33464
276.38928	-217.81730	-7.98873
276.08439	-218.16627	-8.18526
276.20396	-218.24324	-7.80181
276.40124	-218.20214	-7.73385
276.85259	-218.10425	-8.03704
276.78683	-218.11994	-9.32099
276.88248	-218.21484	-8.26994
276.92732	-218.31872	-9.39970
276.43710	-218.19766	-10.44072
276.58058	-217.89426	-8.63453
276.69716	-218.16777	-7.82671
276.94525	-218.21410	-8.56549
276.31455	-218.14161	-8.63296
276.33249	-217.93013	-7.72208
276.62841	-218.42034	-9.19659
276.89444	-218.58773	-8.63514
275.89907	-218.42782	-8.29815
275.91999	-218.68413	-8.95104
276.41917	-218.24100	-7.42479
276.16510	-217.67756	-9.75984
276.13222	-217.71866	-7.73124
276.20993	-217.68204	-8.86684
276.18303	-218.14834	-7.74844
276.67324	-217.93462	-9.47032
276.73004	-217.58788	-8.65607
276.67324	-217.75378	-7.68784
276.91835	-217.50568	-9.37209
276.60150	-217.98543	-7.74312
277.19633	-217.51913	-7.76027
276.96020	-217.85242	-8.59396
277.84796	-218.21186	-7.93120
277.47432	-217.42498	-9.33079
277.05286	-218.46742	-9.01711
277.87486	-218.09528	-8.42981
277.62078	-217.98618	-9.07029
277.48926	-218.17673	-7.71587
277.05286	-218.19990	-7.63776
277.07677	-218.04970	-8.40011
277.11563	-217.97497	-7.86507
277.21726	-217.91369	-8.12359
277.05286	-217.89501	-7.95243
277.77921	-218.21410	-8.78259
277.50421	-217.80833	-8.14063
277.23519	-217.37117	-9.54614
277.17242	-217.38089	-8.06470
277.02894	-217.60507	-7.64866
277.35177	-217.77918	-7.61827
277.36073	-217.67083	-9.29365
277.36671	-217.84793	-7.95918
277.12460	-217.55949	-7.52675
277.34579	-217.41900	-8.99289
277.37867	-217.41153	-8.82878
277.27704	-217.42124	-7.61458
277.04987	-217.75303	-8.08837
277.34280	-217.80459	-7.62047
277.22324	-217.70446	-7.60605
277.41155	-217.64841	-9.33804
277.36970	-217.66037	-8.12291
277.47432	-217.64094	-8.36580
277.52214	-217.85242	-7.77335
303.35686	-34.50457	-7.33484
315.67789	-38.60261	-7.12502
273.33144	-211.29136	-8.18165
309.46357	-9.52100	-8.72987
306.96768	-19.75640	-7.34895
344.82153	12.44583	-8.67158
350.07934	10.55373	-9.67642
350.57254	8.12211	-7.48750
342.84275	11.87641	-8.25753
341.48271	12.93380	-10.92439
536.79888	16.62682	-7.10806
303.99652	27.91437	-7.28443
309.72362	25.59334	-8.78798
305.89161	26.77329	-7.59579
291.04479	25.68451	-7.24265
287.04240	24.97909	-7.19259
298.41589	30.63594	-9.15600
321.96096	25.14872	-8.09313
323.87099	29.24377	-8.19966
325.37749	28.69976	-8.55945
320.58000	24.74145	-7.52644
347.05139	21.77254	-9.05876
346.05303	28.39711	-7.50130
347.26959	24.87895	-8.76243
347.26959	24.87895	-8.63519
181.64108	-189.79009	-7.08543
299.80881	24.35287	-8.32069
297.97350	26.15903	-9.43284
298.04823	24.83187	-7.93379
232.95480	23.42700	-9.39345
188.91055	13.64894	-7.41443
303.52126	-72.50862	-7.46637
420.05396	-248.86947	-7.59130
424.24466	-253.56981	-7.91635
423.61097	-256.06645	-7.14114
357.56103	28.94710	-7.17293
356.32355	29.36109	-8.65256
352.97278	28.41878	-7.24942
365.38647	29.50009	-7.94360
221.39001	25.75177	-7.68099
310.56057	12.61770	-8.05214
307.43996	21.87417	-7.13825
312.27630	16.82410	-9.25232
303.10577	3.11762	-7.68381
193.71103	11.73741	-8.48924
485.35961	19.01959	-7.61225
238.89113	-82.44286	-7.92860
318.94497	10.02392	-9.08004
482.38547	-236.17480	-8.89949
278.35610	-218.23726	-8.80867
278.91805	-219.11979	-9.46555
265.06361	10.34450	-8.82928
266.80028	8.12136	-7.55250
262.23892	11.46092	-7.25736
283.39870	15.43716	-7.05095
282.56474	15.51936	-7.74013
341.81450	-121.48114	-10.11390
273.61241	-217.85316	-7.56855
272.42574	-218.78950	-7.51864
275.03821	-217.66784	-8.13122
275.48358	-218.09379	-8.70242
275.65396	-218.10500	-7.66917
275.81836	-218.02429	-7.86630
275.68086	-217.88679	-9.47373
275.61510	-217.87708	-10.28743
275.53141	-217.91967	-9.28134
274.86185	-218.46518	-8.34578
275.82434	-218.58848	-8.37232
275.67489	-218.47863	-7.84277
275.25044	-218.45920	-9.17999
275.45369	-219.23562	-9.34687
275.64500	-218.71925	-9.06873
275.34908	-218.17823	-9.71711
275.31321	-217.89202	-7.91903
274.90968	-218.40390	-7.64235
275.22951	-217.66709	-7.60845
275.42679	-217.45562	-9.62433
275.78548	-216.36385	-7.79540
274.34474	-216.56337	-7.84652
275.88711	-217.96227	-10.13919
275.02028	-218.74242	-9.50665
284.02641	-47.91214	-7.12749
406.07697	-9.66373	-7.44377
381.33626	-49.00540	-7.15174
667.00667	-159.97166	-9.43308
339.36345	-53.36723	-7.20333
326.62394	-59.85430	-7.63474
278.97185	-216.29361	-8.66750
278.51153	-216.56935	-10.12872
278.09007	-217.10963	-7.67503
278.14089	-217.29570	-7.68035
278.03029	-217.04163	-8.79107
278.97484	-216.38851	-8.22653
278.06018	-217.22396	-7.97121
278.22159	-217.35174	-8.78167
279.29169	-216.16806	-7.69255
279.12729	-217.12980	-7.59051
278.23654	-215.37969	-7.84914
278.14985	-215.74959	-7.72871
278.80745	-216.00292	-8.17918
278.57132	-218.08856	-9.85771
277.08275	-219.30063	-8.91376
276.08140	-216.86079	-7.61301
277.35177	-216.77709	-8.29122
276.75993	-215.25938	-7.47216
280.34684	-216.61867	-8.83814
280.36776	-218.37924	-10.07401
280.57700	-218.21709	-8.98139
277.30693	-213.41661	-7.47144
219.88948	-19.82365	-8.16624
286.28018	-73.72593	-7.60842
267.30842	-69.44032	-8.14993
262.66636	-45.37141	-6.95707
345.18918	6.31894	-7.52082
354.57792	15.03289	-7.47734
340.84604	-113.65271	-7.94296
341.41994	-114.76913	-7.20277
345.23701	11.56106	-9.67448
336.36838	14.26469	-8.23470
342.05363	12.14169	-10.44371
341.86532	17.96817	-8.46765
336.68223	16.54985	-7.91952
335.55534	19.52101	-7.59109
347.37720	24.11374	-9.15563
351.05378	19.12196	-7.55412
360.55311	30.66434	-12.08434
356.64637	27.45256	-9.44286
323.01312	17.59678	-7.65862
278.32322	-70.82427	-7.22866
268.97334	-61.20612	-7.19124
306.39676	-76.22107	-7.40562
233.18197	7.83366	-7.67274
460.18250	-397.91451	-7.30087
413.41817	-110.85567	-7.07999
412.26737	-145.27430	-10.19828
340.71750	29.60993	-8.66063
338.32922	30.60530	-7.39200
338.12596	26.92274	-7.75355
338.77758	27.60276	-8.46159
334.90073	25.84816	-11.02015
340.51724	26.67539	-8.23364
341.78760	27.25005	-7.25711
350.87742	24.55613	-7.32794
366.17858	-9.91780	-7.33771
367.36824	-12.28367	-7.24400
361.82945	20.39233	-7.53996
359.94035	20.99911	-7.14312
274.44936	-220.97303	-7.49472
275.87217	-219.77067	-8.82825
274.41349	-219.51958	-7.52125
276.64335	-220.18764	-9.81590
277.38166	-219.91190	-7.72879
278.17377	-220.33635	-7.62826
278.49061	-219.92759	-7.68441
279.31859	-220.50748	-9.16315
278.48463	-219.68697	-8.88355
277.61182	-219.80803	-8.48349
430.37529	-28.59215	-7.42725
324.35821	-27.07593	-7.30189
350.68313	29.24825	-7.66170
349.40679	26.54313	-10.35187
344.15795	30.91318	-9.53626
346.05602	27.39801	-7.93941
348.32175	25.66135	-8.66323
337.93765	26.08804	-8.01200
341.52755	24.16381	-8.26059
341.31831	24.96489	-8.06953
340.52620	30.14349	-9.21663
342.96829	30.28099	-9.42130
341.32728	24.23107	-8.19325
429.92692	7.77911	-7.80636
411.40353	9.35436	-7.28401
403.57211	24.03827	-7.02329
473.47798	-12.27395	-7.86865
321.90716	-116.51551	-9.16692
324.92614	-120.60309	-7.30775
281.84736	-219.56068	-7.26726
277.67758	-214.74451	-8.79135
276.75395	-217.17763	-9.07378
277.31291	-219.40749	-8.31959
278.88218	-217.09543	-7.83040
279.06452	-216.81894	-7.99076
278.95392	-218.90308	-7.61459
278.06317	-218.47415	-7.31015
278.40692	-218.39195	-9.42269
278.12594	-218.08034	-9.39031
278.31126	-217.45860	-8.06571
278.57729	-217.69923	-7.56328
278.51153	-217.65962	-8.13865
277.68953	-217.56472	-9.73092
276.98411	-217.80459	-8.30528
277.47133	-217.92939	-7.63978
277.57296	-218.07735	-7.82892
277.51916	-218.46892	-8.61101
277.11862	-218.53916	-8.88070
277.05884	-218.51525	-8.68708
276.98411	-218.68040	-9.13840
277.32785	-218.75288	-8.24513
277.59388	-219.05328	-7.33170
277.55204	-217.96152	-7.41143
258.86723	-176.68292	-7.51877
682.72331	-153.85748	-7.28049
681.27360	-153.48235	-8.59455
680.84915	-153.56679	-7.43750
679.78204	-153.51672	-7.68849
679.56683	-156.52300	-8.59612
656.93343	-153.61611	-7.55960
684.20291	-154.68695	-9.30601
307.47881	25.78913	-7.45344
311.25105	29.20491	-7.76786
316.02462	24.43133	-7.55427
311.55892	24.97311	-7.94110
315.09203	30.11285	-7.88011
312.91896	24.19819	-7.30628
383.64384	-6.31147	-7.44385
373.56164	-9.43282	-7.11897
360.83409	-6.85922	-7.15185
364.09518	7.17755	-9.03107
355.55236	1.28680	-7.64365
355.22655	-0.08295	-8.05450
355.21758	1.37274	-7.61192
358.36510	-9.33194	-8.24919
346.87802	24.70334	-8.71938
378.83439	3.65491	-7.56572
366.84515	-40.60979	-7.86813
291.75620	-216.63063	-7.90652
458.17084	-55.22794	-8.37286
463.86506	-55.29818	-7.39142
463.37186	-48.04665	-7.39007
317.76726	-115.06057	-7.13200
244.10710	-45.55375	-8.00954
221.47071	-48.86117	-8.00357
274.03089	-213.62734	-9.96387
275.78548	-217.13055	-7.72206
275.84228	-218.38896	-8.23653
678.86439	-153.89559	-7.48000
677.38180	-153.76556	-7.72305
677.56414	-153.71998	-7.39505
319.18110	-13.87312	-7.90959
290.92523	16.33538	-7.92756
325.03972	18.83127	-8.41279
318.88817	15.98192	-9.17294
318.76562	17.06098	-8.53598
319.87158	20.82873	-7.95514
320.24223	19.03304	-8.30600
319.94631	17.46003	-7.24732
321.10010	19.54342	-7.73464
320.71451	17.96145	-7.70383
325.61363	17.99433	-7.70938
324.70494	20.84592	-9.51168
324.81255	22.24481	-7.90713
323.94572	23.42476	-8.49993
334.47628	17.42789	-8.03548
328.11550	17.84114	-7.32421
493.11630	6.91676	-7.19819
678.22771	-153.23051	-8.02925
678.76874	-154.28566	-7.57682
678.42499	-153.48459	-7.11145
678.42499	-153.48459	-8.47974
678.53260	-153.71101	-6.90591
678.51467	-153.84253	-7.53395
678.51467	-153.84253	-6.95403
678.46086	-153.98451	-6.90062
677.11577	-152.28671	-7.69557
676.00981	-153.48533	-10.35040
676.67638	-155.63748	-7.48816
678.89129	-156.05670	-8.41080
678.85243	-154.86032	-8.45339
676.81089	-156.60595	-8.32267
676.83181	-152.76197	-7.46931
677.53126	-156.23903	-7.38583
677.66577	-153.54138	-8.16706
680.52334	-154.03906	-7.80349
680.37687	-152.69547	-8.36626
254.97543	-4.54715	-7.40509
328.77011	18.37170	-8.42319
327.72990	16.07458	-7.82498
393.31355	-133.86270	-7.78781
334.46732	-25.86759	-9.40898
324.69299	-15.11210	-7.36199
322.42427	-17.36662	-8.98841
330.94019	-9.83710	-9.40505
438.67001	-34.19520	-7.47737
326.25329	27.63788	-8.50830
330.56655	28.81484	-8.43369
333.66325	30.62847	-7.77284
314.80209	14.24451	-7.33682
314.80209	14.24451	-7.37117
311.97441	23.64670	-9.93614
312.27332	7.88597	-8.02670
311.77115	7.66627	-7.74867
302.80985	9.34390	-7.76045
322.37943	27.93156	-7.73724
327.49676	26.02900	-7.79361
331.10459	28.02497	-8.82604
428.49814	-109.99182	-7.17313
301.85633	-182.55574	-7.28003
269.37388	-213.68637	-8.65669
339.02867	-39.44778	-10.37581
362.09249	11.45719	-8.37317
356.89446	10.23988	-7.41656
358.04526	21.37275	-9.06668
356.01268	18.33882	-8.27949
356.01268	18.33882	-7.70087
352.39887	16.93395	-8.65022
347.16497	17.25378	-7.58143
335.43279	24.13467	-9.39680
335.23551	11.77403	-7.88059
319.22594	-91.64852	-7.50358
284.52260	-201.66798	-8.09231
271.91461	-218.32843	-7.66067
339.21997	7.23734	-8.54333
339.71915	4.03527	-7.25243
332.90402	-4.57181	-8.49497
328.71033	0.31759	-8.37557
